source_id,physical_watch_id,tilt_deg,angle_deg,n_edge_pixels,resid_vs_ticksonly_H_px,implied_canonical_radius_via_ticksonly_H
rep_arf_m304y61,rep_arf_m304y61,3.913,-127.50,15,3.515,1.0206
rep_arf_m304y61,rep_arf_m304y61,3.913,-120.00,17,1.680,1.0146
rep_arf_m304y61,rep_arf_m304y61,3.913,-112.50,24,2.562,1.0190
rep_arf_m304y61,rep_arf_m304y61,3.913,-105.00,19,3.603,1.0220
rep_arf_m304y61,rep_arf_m304y61,3.913,-97.50,20,4.644,1.0257
rep_arf_m304y61,rep_arf_m304y61,3.913,-90.00,9,0.939,1.0093
rep_arf_m304y61,rep_arf_m304y61,3.913,-82.50,16,4.474,1.0219
rep_arf_m304y61,rep_arf_m304y61,3.913,-75.00,12,3.850,1.0226
rep_arf_m304y61,rep_arf_m304y61,3.913,-67.50,12,2.085,1.0112
rep_arf_m304y61,rep_arf_m304y61,3.913,-60.00,17,1.562,1.0132
rep_arf_m304y61,rep_arf_m304y61,3.913,-52.50,18,2.327,1.0136
rep_arf_m304y61,rep_arf_m304y61,3.913,-45.00,24,2.818,1.0181
rep_arf_m304y61,rep_arf_m304y61,3.913,-37.50,27,3.588,1.0210
rep_arf_m304y61,rep_arf_m304y61,3.913,-30.00,25,3.594,1.0203
rep_arf_m304y61,rep_arf_m304y61,3.913,-22.50,26,5.330,1.0273
rep_arf_m304y61,rep_arf_m304y61,3.913,-15.00,15,4.449,1.0197
rep_arf_m304y61,rep_arf_m304y61,3.913,-7.50,17,2.568,1.0154
rep_vsf_HCz9EAj,rep_vsf_HCz9EAj,3.974,0.00,16,6.536,1.0297
rep_vsf_HCz9EAj,rep_vsf_HCz9EAj,3.974,7.50,15,2.207,1.0031
rep_vsf_HCz9EAj,rep_vsf_HCz9EAj,3.974,15.00,12,0.970,1.0090
rep_vsf_HCz9EAj,rep_vsf_HCz9EAj,3.974,22.50,13,3.722,0.9994
rep_vsf_HCz9EAj,rep_vsf_HCz9EAj,3.974,30.00,17,2.188,1.0067
rep_vsf_HCz9EAj,rep_vsf_HCz9EAj,3.974,37.50,22,1.999,1.0042
rep_vsf_HCz9EAj,rep_vsf_HCz9EAj,3.974,45.00,28,1.920,1.0038
rep_vsf_HCz9EAj,rep_vsf_HCz9EAj,3.974,52.50,27,1.784,1.0050
rep_vsf_HCz9EAj,rep_vsf_HCz9EAj,3.974,60.00,26,0.934,1.0089
rep_vsf_HCz9EAj,rep_vsf_HCz9EAj,3.974,67.50,22,1.928,1.0158
rep_vsf_HCz9EAj,rep_vsf_HCz9EAj,3.974,75.00,11,4.542,1.0249
rep_vsf_HCz9EAj,rep_vsf_HCz9EAj,3.974,82.50,13,1.630,1.0153
rep_vsf_HCz9EAj,rep_vsf_HCz9EAj,3.974,90.00,8,11.463,0.9727
rep_vsf_HCz9EAj,rep_vsf_HCz9EAj,3.974,97.50,11,1.912,1.0039
rep_vsf_HCz9EAj,rep_vsf_HCz9EAj,3.974,105.00,7,4.394,1.0220
rep_vsf_HCz9EAj,rep_vsf_HCz9EAj,3.974,112.50,6,4.395,0.9956
rep_vsf_HCz9EAj,rep_vsf_HCz9EAj,3.974,120.00,12,4.429,0.9957
rep_vsf_HCz9EAj,rep_vsf_HCz9EAj,3.974,127.50,9,11.345,0.9728
rep_vsf_HCz9EAj,rep_vsf_HCz9EAj,3.974,135.00,24,1.629,1.0106
rep_vsf_HCz9EAj,rep_vsf_HCz9EAj,3.974,142.50,23,3.110,1.0192
rep_vsf_HCz9EAj,rep_vsf_HCz9EAj,3.974,150.00,13,4.357,1.0243
rep_vsf_HCz9EAj,rep_vsf_HCz9EAj,3.974,157.50,13,7.061,1.0306
rep_vsf_HCz9EAj,rep_vsf_HCz9EAj,3.974,165.00,16,1.425,1.0139
rep_vsf_HCz9EAj,rep_vsf_HCz9EAj,3.974,172.50,23,1.123,1.0063
rep_vsf_HCz9EAj,rep_vsf_HCz9EAj,3.974,180.00,11,7.141,1.0277
rep_vsf_HCz9EAj,rep_vsf_HCz9EAj,3.974,-172.50,20,4.214,1.0230
rep_vsf_HCz9EAj,rep_vsf_HCz9EAj,3.974,-165.00,25,2.258,1.0165
rep_vsf_HCz9EAj,rep_vsf_HCz9EAj,3.974,-157.50,16,2.879,1.0148
rep_vsf_HCz9EAj,rep_vsf_HCz9EAj,3.974,-150.00,18,7.668,1.0330
rep_vsf_HCz9EAj,rep_vsf_HCz9EAj,3.974,-142.50,22,7.206,1.0323
rep_vsf_HCz9EAj,rep_vsf_HCz9EAj,3.974,-135.00,27,4.074,1.0226
rep_vsf_HCz9EAj,rep_vsf_HCz9EAj,3.974,-127.50,22,3.199,1.0205
rep_vsf_HCz9EAj,rep_vsf_HCz9EAj,3.974,-120.00,11,7.813,1.0351
rep_vsf_HCz9EAj,rep_vsf_HCz9EAj,3.974,-112.50,3,11.133,1.0289
rep_vsf_HCz9EAj,rep_vsf_HCz9EAj,3.974,-97.50,4,5.884,1.0287
rep_vsf_HCz9EAj,rep_vsf_HCz9EAj,3.974,-90.00,9,5.703,1.0288
rep_vsf_HCz9EAj,rep_vsf_HCz9EAj,3.974,-82.50,10,4.388,1.0244
rep_vsf_HCz9EAj,rep_vsf_HCz9EAj,3.974,-75.00,11,6.204,1.0305
rep_vsf_HCz9EAj,rep_vsf_HCz9EAj,3.974,-67.50,20,4.036,1.0232
rep_vsf_HCz9EAj,rep_vsf_HCz9EAj,3.974,-60.00,12,3.213,1.0194
rep_vsf_HCz9EAj,rep_vsf_HCz9EAj,3.974,-52.50,26,0.417,1.0100
rep_vsf_HCz9EAj,rep_vsf_HCz9EAj,3.974,-45.00,32,1.074,1.0064
rep_vsf_HCz9EAj,rep_vsf_HCz9EAj,3.974,-37.50,32,0.599,1.0106
rep_vsf_HCz9EAj,rep_vsf_HCz9EAj,3.974,-30.00,20,2.901,1.0167
rep_vsf_HCz9EAj,rep_vsf_HCz9EAj,3.974,-22.50,22,1.589,1.0058
rep_vsf_HCz9EAj,rep_vsf_HCz9EAj,3.974,-15.00,16,1.920,1.0036
rep_vsf_HCz9EAj,rep_vsf_HCz9EAj,3.974,-7.50,14,0.879,1.0124
rep_cf_bpdi5xV,rep_cf_bpdi5xV,4.008,0.00,3,8.612,0.9834
rep_cf_bpdi5xV,rep_cf_bpdi5xV,4.008,30.00,4,3.532,0.9996
rep_cf_bpdi5xV,rep_cf_bpdi5xV,4.008,37.50,10,6.446,0.9893
